	POPTR_0007s15210g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	POPTR_0014s003601g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	POPTR_0019s10800g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	POPTR_0014s00370g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	LOC104810283|GCF_000463585.1_ASM46358v1_genomic-Cleome_hassleriana	LOC104815706|GCF_000463585.1_ASM46358v1_genomic-Cleome_hassleriana	LOC104817918|GCF_000463585.1_ASM46358v1_genomic-Cleome_hassleriana	AA_scaffold1218_83.mRNA1|A.arabicum-Aethionema_arabicum	ARALYDRAFT_477013|GCF_000004255.1_v.1.0_genomic-Arabidopsis_lyrata	Araha.16220s0012|Ahalleri_264_v1-Arabidopsis_halleri	AT1G78500|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	LOC104751748|GCF_000633955.1_Cs_genomic-Camelina_sativa	LOC104713532|GCF_000633955.1_Cs_genomic-Camelina_sativa	ARALYDRAFT_316749|GCF_000004255.1_v.1.0_genomic-Arabidopsis_lyrata	AA_scaffold1218_81.mRNA1|A.arabicum-Aethionema_arabicum	BniB034081|BniB_genome-Brassica_nigra	BjuB035194|Bju_genome-Brassica_juncea	BniB016249|BniB_genome-Brassica_nigra	LOC106310247|GCF_000695525.1_BOL_genomic-Brassica_oleracea	BjuA036670|Bju_genome-Brassica_juncea	LOC103842460|GCF_000309985.1_Brapa_1.0_genomic-Brassica_rapa	LOC106369564|GCF_000686985.1_Brassica_napus_assembly_v1.0_genomic-Brassica_napus	ARALYDRAFT_684149|GCF_000004255.1_v.1.0_genomic-Arabidopsis_lyrata	AT5G48010|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	EUTSA_v10027177mg|GCF_000478725.1_Eutsalg1_0_genomic-Eutrema_salsugineum	Araha.24309s0002|Ahalleri_264_v1-Arabidopsis_halleri	AT4G15340|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	LOC10473_945|GCF_000633955.1_Cs_genomic-Camelina_sativa	LOC10471_2305|GCF_000633955.1_Cs_genomic-Camelina_sativa	ARALYDRAFT_493357|GCF_000004255.1_v.1.0_genomic-Arabidopsis_lyrata	AT4G1537_1|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	AT5G42600|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	LOC104787556|GCF_000633955.1_Cs_genomic-Camelina_sativa	LOC104701250|GCF_000633955.1_Cs_genomic-Camelina_sativa	AA_scaffold713_23.mRNA1|A.arabicum-Aethionema_arabicum	AA_scaffold713_21.mRNA1|A.arabicum-Aethionema_arabicum	LOC106428891|GCF_000686985.1_Brassica_napus_assembly_v1.0_genomic-Brassica_napus	BjuA019856|Bju_genome-Brassica_juncea	LOC10386_2218|GCF_000309985.1_Brapa_1.0_genomic-Brassica_rapa	BniB043456|BniB_genome-Brassica_nigra	BjuB025155|Bju_genome-Brassica_juncea	LOC106401978|GCF_000686985.1_Brassica_napus_assembly_v1.0_genomic-Brassica_napus	LOC106345076|GCF_000695525.1_BOL_genomic-Brassica_oleracea	BjuB027108|Bju_genome-Brassica_juncea	BniB033509|BniB_genome-Brassica_nigra	LOC106338910|GCF_000695525.1_BOL_genomic-Brassica_oleracea	LOC106448501|GCF_000686985.1_Brassica_napus_assembly_v1.0_genomic-Brassica_napus	LOC103864450|GCF_000309985.1_Brapa_1.0_genomic-Brassica_rapa	BjuA016076|Bju_genome-Brassica_juncea	CARUB_v10016727mg|GCF_000375325.1_Caprub1_0_genomic-Capsella_rubella	LOC104780146|GCF_000633955.1_Cs_genomic-Camelina_sativa	Bostr.0556s0559|Bstricta_278_v1-Boechera_stricta	AT3G29255|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	AT5G36150|GCF_000001735.3_TAIR10_genomic-Arabidopsis_thaliana	Bostr.3877s0049|Bstricta_278_v1-Boechera_stricta
POPTR_0007s15210g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	0	0.584584057331	0.945439636707	0.584584057331	0.898957967758	0.943359315395	0.994289577007	1.0	0.978561520576	0.985841572285	0.983930051327	0.984905064106	0.985067307949	0.978561520576	1.0	0.972174167633	1.0	1.0	1.0	0.988368093967	0.990904986858	1.0	1.0	1.0	1.0	1	0.983860850334	0.982485294342	0.987065255642	1.0	0.983860850334	0.985094547272	0.987675070763	0.981733083725	1.0	1.0	0.948849976063	1.0	0.976105749607	1.0	1.0	1.0	1.0	0.979671061039	0.968214571476	0.981530487537	0.979820907116	0.972038686275	0.977022886276	1.0	1.0	1.0	0.991523504257	1.0	0.97180891037
POPTR_0014s003601g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	0.584584057331	0	0.938458681107	1	0.914279222488	0.947253763676	0.991043925285	1.0	0.978223741055	0.981953442097	0.985577821732	0.980056941509	0.980466365814	0.978223741055	1.0	0.958490729332	1.0	1.0	0.986628890038	0.990666508675	0.993001103401	1.0	1.0	1.0	0.994312524796	1	1.0	0.991060376167	1.0	1.0	1.0	0.98219537735	0.985212445259	0.98206526041	1.0	1.0	0.987356603146	1.0	1.0	1.0	1.0	0.983928024769	1.0	0.97574198246	0.957242488861	0.972409904003	0.979621112347	0.987574756145	0.976088225842	0.988977134228	1.0	1.0	0.990589797497	0.990889251232	1.0
POPTR_0019s10800g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	0.945439636707	0.938458681107	0	0.938458681107	1.0	1.0	0.992501497269	1.0	0.981534659863	0.981512367725	0.976637601852	0.980000019073	0.980220735073	0.981534659863	1.0	0.967341065407	1.0	1.0	1.0	0.986056149006	0.987558543682	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97947883606	1.0	1.0	0.987733542919	1.0	1.0	1.0	1.0	1.0	1.0	0.988632559776	0.971484959126	0.98783403635	0.986724317074	0.991399407387	0.984735548496	1.0	1.0	1.0	0.990510344505	1.0	1.0
POPTR_0014s00370g|GCF_000002775.3_Poptr2_0_genomic-Populus_trichocarpa	0.584584057331	1	0.938458681107	0	0.914279222488	0.947253763676	0.991043925285	1.0	0.978223741055	0.981953442097	0.985577821732	0.980056941509	0.980466365814	0.978223741055	1.0	0.958490729332	1.0	1.0	0.986628890038	0.990666508675	0.993001103401	1.0	1.0	1.0	0.994312524796	1	1.0	0.991060376167	1.0	1.0	1.0	0.98219537735	0.985212445259	0.98206526041	1.0	1.0	0.987356603146	1.0	1.0	1.0	1.0	0.983928024769	1.0	0.97574198246	0.957242488861	0.972409904003	0.979621112347	0.987574756145	0.976088225842	0.988977134228	1.0	1.0	0.990589797497	0.990889251232	1.0
LOC104810283|GCF_000463585.1_ASM46358v1_genomic-Cleome_hassleriana	0.898957967758	0.914279222488	1.0	0.914279222488	0	0.989011645317	0.9907310009	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99169498682	0.993334472179	1.0	1.0	1.0	0.986625134945	1	0.969953536987	0.974798202515	0.962841153145	0.980434715748	0.969953536987	0.986783623695	0.966231822968	0.994955718517	1.0	1.0	0.968268752098	1.0	0.970624387264	1.0	1.0	1.0	1.0	0.973644375801	0.957379341125	0.97847443819	0.977077782154	0.979210495949	0.985909342766	0.987147271633	0.97086840868	0.984455764294	1.0	1.0	0.974568843842
LOC104815706|GCF_000463585.1_ASM46358v1_genomic-Cleome_hassleriana	0.943359315395	0.947253763676	1.0	0.947253763676	0.989011645317	0	0.97247838974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.985493063927	1	1.0	0.987002432346	0.991215646267	0.992219924927	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.971696257591	1.0	1.0	1.0	1.0	1.0	1.0	0.972790896893	0.973809540272	0.961625874043	1.0	1.0	1.0
LOC104817918|GCF_000463585.1_ASM46358v1_genomic-Cleome_hassleriana	0.994289577007	0.991043925285	0.992501497269	0.991043925285	0.9907310009	0.97247838974	0	1.0	0.990326523781	0.994536519051	0.980937182903	0.99427562952	0.994335651398	0.990326523781	1.0	0.985333442688	1.0	1.0	1.0	0.970733463764	0.951944589615	1.0	1.0	1.0	0.980928599834	1	0.991914391518	0.971849501133	0.981741428375	0.987659931183	0.991914391518	1.0	1.0	0.994461238384	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.989624202251	0.990806877613	0.989108622074	0.988575875759	0.990963339806	0.992775559425	0.994032204151	0.993766248226	0.99317163229	0.96672475338	1.0	0.990307331085
AA_scaffold1218_83.mRNA1|A.arabicum-Aethionema_arabicum	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0.929391562939	0.668130517006	0.78873872757	1.0	1.0	0.929391562939	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ARALYDRAFT_477013|GCF_000004255.1_v.1.0_genomic-Arabidopsis_lyrata	0.978561520576	0.978223741055	0.981534659863	0.978223741055	1.0	1.0	0.990326523781	0.929391562939	0	0.848002433777	0.850025892258	0.941203594208	0.942309141159	1	0.929391562939	0.987203776836	1.0	1.0	0.989811420441	0.973320424557	0.973518371582	1.0	1.0	1.0	0.996167838573	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98231369257	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992101550102	0.982737660408	0.985038161278	0.984331250191	0.984071612358	0.98314255476	1.0	1.0	1.0	0.99064707756	0.992752730846	1.0
Araha.16220s0012|Ahalleri_264_v1-Arabidopsis_halleri	0.985841572285	0.981953442097	0.981512367725	0.981953442097	1.0	1.0	0.994536519051	0.668130517006	0.848002433777	0	0.5546220541	0.763615250587	0.785306870937	0.848002433777	0.668130517006	0.986534118652	1.0	1.0	1.0	0.984823346138	0.989614844322	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.971383154392	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.978843331337	0.990428388119	0.985353529453	0.98311406374	0.991126358509	0.978356420994	1.0	1.0	1.0	0.985665619373	1.0	1.0
