Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DDS index	Adjacency index	raw DDS non-anchor	raw DDS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
NC_025685.1.cluster011	NW_010960187.1.cluster008	0.833754956722	0.0276374146342	0.363636374474	0.109305739403	0.230769231915	0.890694260597	0.0	17	0	terpene - terpene	terpene
NC_008467.2.cluster007	NC_025685.1.cluster004	0.91032409668	0.00804176554084	0.25	0.0473456345499	0.0833333358169	0.952654361725	0.0	20	0	terpene - terpene	terpene
B1.cluster006	NC_027748.1.cluster002	0.414324343204	0.3430159688	0.800000011921	0.539789795876	0.416666656733	0.460210233927	0.0	11	0	terpene - terpene	terpene
J01.cluster002	NC_024795.1.cluster008	0.757248342037	0.0589283742011	0.5	0.172557786107	0.266666680574	0.827442228794	0.0	17	0	terpene - terpene	terpene
NC_025685.1.cluster007	NW_003301889.1.cluster002	0.87986522913	0.0144323613495	0.333333343267	0.0610343888402	0.153846159577	0.93896561861	0.0	25	0	terpene - terpene	terpene
NC_025685.1.cluster012	NC_027757.1.cluster014	0.678902089596	0.103103861213	0.5	0.278130531311	0.25	0.721869468689	0.0	5	0	terpene - terpene	terpene
NC_003070.9.cluster007	NW_006238579.1.cluster001	0.886971354485	0.0127754705027	0.333333343267	0.0544085390866	0.111111111939	0.945591449738	0.0	23	0	terpene - terpene	terpene
NC_027757.1.cluster014	Scaffold10004.cluster002	0.788091480732	0.0449052266777	0.5	0.132544711232	0.25	0.867455303669	0.0	5	0	terpene - terpene	terpene
J01.cluster014	Scaffold10004.cluster009	0.794075131416	0.0424050539732	0.40000000596	0.154566496611	0.20000000298	0.845433473587	0.0	6	0	terpene - terpene	terpene
NC_003070.9.cluster005	NC_025685.1.cluster009	0.900930345058	0.00981479603797	0.25	0.0598706454039	0.0833333358169	0.940129339695	0.0	20	0	terpene - terpene	terpene
NW_003301889.1.cluster003	Scaffold10012.cluster004	0.757263064384	0.0589212141931	0.40000000596	0.200315907598	0.25	0.799684107304	0.0	5	0	terpene - terpene	terpene
NW_006256342.1.cluster007	Scaffold10004.cluster005	0.691043615341	0.0954540520906	0.5	0.256386309862	0.333333343267	0.74361371994	0.0	4	0	terpene - terpene	terpene
J01.cluster017	NC_008467.2.cluster005	0.796112418175	0.0415701530874	0.666666686535	0.0866649448872	0.111111111939	0.913335084915	0.0	12	0	terpene - terpene	terpene
AA_scaffold1017.cluster002	NW_010960187.1.cluster009	0.928214907646	0.00515310047194	0.25	0.0223801340908	0.10000000149	0.977619886398	0.0	18	0	terpene - terpene	terpene
NC_008467.2.cluster005	Scaffold10004.cluster005	0.842202961445	0.0248999148607	0.428571432829	0.0770627558231	0.285714298487	0.922937214375	0.0	12	0	terpene - terpene	terpene
