Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DDS index	Adjacency index	raw DDS non-anchor	raw DDS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
NC_025685.1.cluster011	NW_010960187.1.cluster009	1.0	0.0	0.0	0.0	0.0	1.0	1.0	34	0	terpene - terpene	terpene
NC_008467.2.cluster007	NC_025685.1.cluster004	0.98206526041	0.000321655534208	0.0512820519507	0.0102377962321	0.0	0.989762187004	0.0	52	0	terpene - terpene	terpene
B1.cluster006	NC_027748.1.cluster002	0.670742571354	0.108410455287	0.40000000596	0.319644838572	0.190476194024	0.680355191231	0.0	40	0	terpene - terpene	terpene
J01.cluster002	NC_024795.1.cluster008	0.89678388834	0.0106535656378	0.135135129094	0.0961432680488	0.0816326513886	0.903856754303	0.0	50	0	terpene - terpene	terpene
NC_025685.1.cluster007	NW_003301889.1.cluster002	1.0	0.0	0.0	0.0	0.0	1.0	1.0	45	0	terpene - terpene	terpene
NC_025685.1.cluster012	NC_027757.1.cluster014	1.0	0.0	0.0	0.0	0.0	1.0	1.0	7	0	terpene - terpene	terpene
NC_003070.9.cluster007	NW_006238579.1.cluster002	1.0	0.0	0.0	0.0	0.0	1.0	1.0	55	0	terpene - terpene	terpene
NC_027757.1.cluster014	Scaffold10004.cluster009	1.0	0.0	0.0	0.0	0.0	1.0	1.0	6	0	terpene - terpene	terpene
J01.cluster014	Scaffold10012.cluster005	1.0	0.0	0.0	0.0	0.0	1.0	1.0	13	0	terpene - terpene	terpene
NC_003070.9.cluster005	NC_025685.1.cluster009	0.991430222988	7.34406858101e-05	0.0188679248095	0.00536925112829	0.0153846153989	0.994630753994	0.0	78	0	terpene - terpene	terpene
NW_006256342.1.cluster008	Scaffold10012.cluster004	1.0	0.0	0.0	0.0	0.0	1.0	1.0	88	0	terpene - terpene	terpene
J01.cluster017	NC_008467.2.cluster005	1.0	0.0	0.0	0.0	0.0	1.0	1.0	34	0	terpene - terpene	terpene
AA_scaffold1017.cluster002	Scaffold10004.cluster001	0.668130517006	0.110137358308	0.428571432829	0.305984705687	0.333333343267	0.694015264511	0.0	7	0	terpene - terpene	terpene
NC_008467.2.cluster005	Scaffold10012.cluster004	0.97180891037	0.000794738007244	0.0799999982119	0.0139559470117	0.0344827584922	0.986044049263	0.0	40	0	terpene - terpene	terpene
NC_024795.1.cluster008	NW_006256342.1.cluster008	1.0	0.0	0.0	0.0	0.0	1.0	1.0	123	0	terpene - terpene	terpene
AA_scaffold1017.cluster003	NC_027757.1.cluster009	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4	0	terpene - terpene	terpene
Scaffold10004.cluster009	Scaffold10012.cluster005	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3	0	terpene - terpene	terpene
NC_008467.2.cluster007	NC_027748.1.cluster004	1.0	0.0	0.0	0.0	0.0	1.0	1.0	34	0	terpene - terpene	terpene
B1.cluster006	NC_025685.1.cluster017	1.0	0.0	0.0	0.0	0.0	1.0	1.0	36	0	terpene - terpene	terpene
J01.cluster003	NC_027748.1.cluster008	1.0	0.0	0.0	0.0	0.0	1.0	1.0	20	0	terpene - terpene	terpene
J01.cluster002	NC_008467.2.cluster009	0.984735548496	0.000233003607718	0.0399999991059	0.00968594104052	0.0	0.99031406641	0.0	39	0	terpene - terpene	terpene
NC_025685.1.cluster007	NC_027748.1.cluster004	1.0	0.0	0.0	0.0	0.0	1.0	1.0	20	0	terpene - terpene	terpene
NC_025685.1.cluster012	NC_025685.1.cluster014	1.0	0.0	0.0	0.0	0.0	1.0	1.0	6	0	terpene - terpene	terpene
NC_003070.9.cluster007	NC_027748.1.cluster008	0.992010891438	6.38256969978e-05	0.0250000003725	0.00398546457291	0.0	0.996014535427	0.0	57	0	terpene - terpene	terpene
NC_027748.1.cluster002	NC_027757.1.cluster014	0.987959384918	0.000144975754665	0.047619048506	0.00335570471361	0.0	0.996644318104	0.0	26	0	terpene - terpene	terpene
J01.cluster014	NW_010960187.1.cluster002	1.0	0.0	0.0	0.0	0.0	1.0	1.0	15	0	terpene - terpene	terpene
NC_003070.9.cluster008	Scaffold10004.cluster009	0.974389910698	0.000655877054669	0.0909090936184	0.00990437157452	0.0	0.990095615387	0.0	12	0	terpene - terpene	terpene
NC_027748.1.cluster004	NW_010960187.1.cluster009	1.0	0.0	0.0	0.0	0.0	1.0	1.0	16	0	terpene - terpene	terpene
NW_003301889.1.cluster009	NW_010960187.1.cluster009	1.0	0.0	0.0	0.0	0.0	1.0	1.0	44	0	terpene - terpene	terpene
NW_006256342.1.cluster008	NW_010960187.1.cluster003	0.986625134945	0.000178887377842	0.0405405387282	0.00702236033976	0.0	0.992977619171	0.0	110	0	terpene - terpene	terpene
AA_scaffold1017.cluster002	NC_003070.9.cluster002	0.78873872757	0.0446313284338	0.363636374474	0.174455597997	0.153846159577	0.825544416904	0.0	13	0	terpene - terpene	terpene
B1.cluster005	J01.cluster013	0.755392313004	0.0598329305649	0.300000011921	0.240083009005	0.0909090936184	0.759917020798	0.0	11	0	terpene - terpene	terpene
NC_024795.1.cluster008	Scaffold10012.cluster004	1.0	0.0	0.0	0.0	0.0	1.0	1.0	53	0	terpene - terpene	terpene
AA_scaffold1017.cluster003	NC_025685.1.cluster012	1.0	0.0	0.0	0.0	0.0	1.0	1.0	5	0	terpene - terpene	terpene
